objectid,filename,youtubeid,title,subject,creator,player,commentator,publisher,date,language,type,medium,extent,coverage,gi_name,gi_genre,rights,source,description,relation
game_001,,,2024 LoL 챔피언스 코리아 스프링 결승전 하이라이트,Highlight;LOL,LCK,"[GEN] Lehends, Peyz, Chovy, Canyon, Kiin  / [T1] Zeus, Oner, Faker, Gumayusi, Keria","강형우, 신동진, 임주완, 고수진",LCK,2024-04-14,kor,Image;MovingImage,,1h 18m 26s,KSPO DOME(올림픽체조경기장),League Of Legends,MOBA,Riot Games Korea,https://www.youtube.com/watch?v=mM-itNzNJKs,2024 LoL  챔피언스 코리아 스프링 결승전 GEN vs. T1 매치 하이라이트 영상,https://game.naver.com/esports/League_of_Legends/videos/league/lck/lck_2024_spring
game_002,game002.JPG,,Reinhardt of Overwatch2,FPS;Overwatch2,Blizzard,,,Blizzard,2024-05-13,eng,Image;StillImage,image/jpg	,33x33 cm,,Overwatch2,FPS,Blizzard,https://game.naver.com/lounge/OVERWATCH/db/character/CH_412_15,오버워치2 탱커 라인하르트 캐릭터의 모습,
