objectid,filename,youtubeid,title,subject,identifier,creator,player,performer,commentator,publisher,game_manufacturer,game_distributor,game_organizer,game_sponsor,created_date,played_date,language,type,medium,extent,spatial,game_name,game_genre,game_platform,game_character,rights,source,description,relation
game001,,wSowKlpFFOA,2024 LoL 챔피언스 코리아 스프링 결승전 하이라이트	,Highlight;Faker;LOL,,LCK,"[GEN] Lehends, Peyz, Chovy, Canyon, Kiin;[T1] Zeus, Oner, Faker, Gumayusi, Keria",,"강형우, 신동진, 임주완, 고수진",LCK,Riot Games,Riot Games,LCK,우리은행,2024-04-14,2024-04-14,kor,Image;MovingImage,,9m 18s,kor / KSPO DOME(올림픽체조경기장),League Of Legends,MOBA,"Windows, Mac","Aatrox, Draven, Maokai, Pantheon, Poppy  etc.",Riot Games Korea,https://www.youtube.com/watch?v=wSowKlpFFOA,2024 LoL  챔피언스 코리아 스프링 결승전 GEN vs. T1 매치 하이라이트 영상,https://game.naver.com/esports/League_of_Legends/videos/league/lck/lck_2024_spring
game002,game002.JPG,,Reinhardt of Overwatch2,FPS;Overwatch2,,Blizards,,,,Blizard,Blizard,Blizard,,,2024-05-13,,en,Image;StillImage,image/jpg,33x33 cm,,Overwatch2,FPS,"Windows, Mac",reinherdt,Blizard,https://namu.wiki/w/%EB%9D%BC%EC%9D%B8%ED%95%98%EB%A5%B4%ED%8A%B8%28%EC%98%A4%EB%B2%84%EC%9B%8C%EC%B9%98%29/%EC%98%81%EC%9B%85%20%EA%B0%A4%EB%9F%AC%EB%A6%AC,오버워치2 탱커 라인하르트 캐릭터의 모습,
