objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,publisher,format(medium),format(extent),game information_name
game001,,mM-itNzNJKs,,2024 LoL 챔피언스 코리아 스프링 결승전 하이라이트,"LCK;[GEN] Lehends, Peyz, Chovy, Canyon, Kiin;[T1] Zeus, Oner, Faker, Gumayusi, Keria;강형우, 신동진, 임주완, 고수진",2024-04-14,2024 LoL  챔피언스 코리아 스프링 결승전 GEN vs. T1 매치 하이라이트 영상,Highlight;Faker;LOL,,,,https://www.youtube.com/watch?v=mM-itNzNJKs,https://www.youtube.com/watch?v=mM-itNzNJKs,Image;MovingImage,,kor,Riot Games Korea,,LCK,MP4,1h 18m 26s,League Of Legends
game002,game002.JPG,,,Reinhardt of Overwatch2,Blizards,2024-05-13,picture of Reinhardt,Reinhardt;Overwatch2,,,,https://namu.wiki/w/%EB%9D%BC%EC%9D%B8%ED%95%98%EB%A5%B4%ED%8A%B8%28%EC%98%A4%EB%B2%84%EC%9B%8C%EC%B9%98%29/%EC%98%81%EC%9B%85%20%EA%B0%A4%EB%9F%AC%EB%A6%AC,,Image;StillImage,image/jpg,eng,Blizard,,Blizard,,,Overwatch2
