objectid,filename,youtubeid,title,subject,identifier,creator,player,performer,commentator,publisher,
game001,,wSowKlpFFOA,2024 LoL 챔피언스 코리아 스프링 결승전 하이라이트	,Highlight;Faker;LOL,,LCK,"[GEN] Lehends, Peyz, Chovy, Canyon, Kiin;[T1] Zeus, Oner, Faker, Gumayusi, Keria",,"강형우, 신동진, 임주완, 고수진",
game002,game002.JPG,,Reinhardt of Overwatch2,FPS;Overwatch2,,Blizards,,,,Blizard,
